epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4743.85,0.62854,1.43744,0.46914,0.98716,0.91509,0.79679,0.86622,0.73157,0.91621,0.78298,0.8482,0.62025,0.81604,1.69491,0.68822,1.1244,0.004258,0.004258,0.004258
89,4791.97,0.63494,1.46399,0.48037,0.99177,0.92428,0.78983,0.85988,0.72739,0.91713,0.78227,0.84543,0.60892,0.81656,1.75531,0.74733,1.12675,0.004192,0.004192,0.004192
90,4839.91,0.63597,1.46515,0.47374,0.98592,0.91502,0.80328,0.86889,0.74195,0.9097,0.79668,0.85626,0.61919,0.79669,1.664,0.67311,1.11465,0.004126,0.004126,0.004126
91,4888.18,0.65086,1.48979,0.48354,0.99678,0.92042,0.79903,0.86572,0.73736,0.90736,0.78883,0.84614,0.61187,0.81256,1.70833,0.70202,1.13637,0.00406,0.00406,0.00406
92,4936.57,0.63704,1.47194,0.48175,0.97924,0.91202,0.79262,0.86391,0.73688,0.9122,0.78926,0.85324,0.6214,0.80282,1.67516,0.69508,1.11855,0.003994,0.003994,0.003994
93,4987.86,0.63684,1.4453,0.47288,0.99149,0.92376,0.81785,0.87992,0.75235,0.92046,0.80924,0.86833,0.6402,0.76418,1.63363,0.69754,1.09554,0.003928,0.003928,0.003928
94,5035.96,0.60934,1.41856,0.46396,0.97613,0.91079,0.80821,0.87116,0.74565,0.90308,0.80311,0.85832,0.63407,0.75348,1.63393,0.70214,1.07765,0.003862,0.003862,0.003862
95,5084.21,0.63027,1.46757,0.47822,0.98239,0.91908,0.82257,0.87548,0.75035,0.90834,0.81759,0.86195,0.63621,0.75533,1.65121,0.66411,1.08973,0.003796,0.003796,0.003796
96,5132.32,0.61868,1.44849,0.4633,0.98826,0.91348,0.82414,0.87551,0.75245,0.89692,0.81805,0.86163,0.63661,0.76304,1.64577,0.69632,1.08731,0.00373,0.00373,0.00373
97,5180.39,0.6106,1.41485,0.46004,0.97886,0.91826,0.79612,0.86744,0.74217,0.91555,0.79103,0.85574,0.62737,0.78488,1.68409,0.73233,1.10471,0.003664,0.003664,0.003664
98,5228.6,0.59633,1.37298,0.4509,0.96627,0.91051,0.81621,0.87072,0.74816,0.90011,0.80548,0.85525,0.63738,0.7566,1.66804,0.73621,1.07847,0.003598,0.003598,0.003598
99,5276.71,0.6204,1.42742,0.46576,0.97955,0.90641,0.8122,0.86853,0.74891,0.91619,0.79854,0.85848,0.63181,0.7618,1.66229,0.69911,1.09116,0.003532,0.003532,0.003532
100,5324.92,0.61196,1.42435,0.46253,0.97841,0.94748,0.81111,0.87595,0.75744,0.945,0.8051,0.86569,0.64293,0.75254,1.6244,0.68872,1.08004,0.003466,0.003466,0.003466
101,5372.99,0.60734,1.38371,0.45316,0.97499,0.90909,0.81997,0.87751,0.75072,0.90801,0.81049,0.86098,0.63413,0.76488,1.67965,0.71965,1.09393,0.0034,0.0034,0.0034
